song_id,song_name,artists,genres
9859736,教我這麼愛下去,Andy Hui,"c-pop,cantopop,classic cantopop"
7789384,The Middle,Zedd; Maren Morris; Grey,"complextro,dance pop,edm,electro house,german techno,pop,post-teen pop,tropical house,contemporary country,texas country,pop,pop edm"
8441004,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,"dance pop,pop,post-teen pop"
9936739,when the party's over,Billie Eilish,"electropop,pop"
9730840,no tears left to cry,Ariana Grande,"dance pop,pop,post-teen pop"
8202733,突然好想你,Mayday,"c-pop,mandopop,taiwan pop"
9861866,Trampoline,SHAED,electropop
10170750,缺,Hins Cheung,"c-pop,cantopop,mandopop"
9357811,人妻的偽術,Kay Tse,"c-pop,cantopop"
2544236,那些你很冒險的夢,JJ Lin,"mandopop,singaporean mandopop,singaporean pop"
10117462,whoa (mind in awe),XXXTENTACION,"emo rap,miami hip hop"
6996186,歲月如歌,Eason Chan,"c-pop,cantopop,mandopop"
2561707,Photograph,Ed Sheeran,"pop,uk pop"
3803109,Say You Won't Let Go,James Arthur,"dance pop,pop,post-teen pop,talent show,uk pop"
1189622,Xi Tie Jie,Kay Tse,"c-pop,cantopop"
9736028,千年如一日,Sammi Cheng,"c-pop,cantopop,classic cantopop,mandopop"
7092085,Wolves,Selena Gomez; Marshmello,"dance pop,pop,post-teen pop,brostep,progressive electro house"
1314124,Fairy tale,Yoga Lin,"cantopop,chinese indie,mandopop"
3787704,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth; Selena Gomez,"dance pop,pop,post-teen pop,dance pop,pop,post-teen pop,viral pop"
4905739,光年之外 (电影 《Passengers》 中国区主题曲),G.E.M.,"cantopop,mandopop"
10138169,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Nicki Minaj; Anuel AA; Bantu,"dance pop,hip pop,pop,pop rap,post-teen pop,rap,reggaeton flow,trap latino,zimdancehall"
10139870,Different World (feat. CORSAK),Alan Walker; K-391; Sofia Carson; CORSAK,"pop,post-teen pop,social media pop,electro house,deep dubstep,nordic house,chinese electropop"
476715,心淡,Joey Yung,"c-pop,cantopop"
5184946,最後晚餐,Supper Moment,cantopop
9294207,慢慢喜歡你,Karen Mok,"c-pop,cantopop,classic mandopop,mandopop"
476704,戀無可戀,Leo Ku,"c-pop,cantopop,classic cantopop"
8025803,體面(電影《前任3:再見前任》插曲),Kelly Yu,"mainland chinese pop,mandopop"
8106397,長相廝守,ToNick,cantopop
10135629,Lucid Dreams,Juice WRLD,"chicago rap,melodic rap,pop"
160362,Ke Xi Wo Shi Shui Ping Zuo,Miriam Yeung,"c-pop,cantopop"
9857507,Head Above Water,Avril Lavigne,"canadian pop,candy pop,dance pop,pop,post-teen pop"
10170751,天才兒童1985,Hins Cheung,"c-pop,cantopop,mandopop"
846257,"你,好不好?(TVBS連續劇【遺憾拼圖】片尾曲) - Ending Theme Song of TVBS Series """"Life List""""",Eric Chou,mandopop
10166083,Look Back At It,A Boogie Wit da Hoodie,"melodic rap,rap,trap"
4569,可惜沒如果,JJ Lin,"mandopop,singaporean mandopop,singaporean pop"
7494645,命硬,Justin Lo,"c-pop,cantopop"
9896948,I'll Never Love Again - Film Version - Radio Edit,Lady Gaga; Bradley Cooper,"dance pop,pop,hollywood"
9985188,La Vie en Rose,IZ*ONE,"k-pop,k-pop girl group"
2526860,Thinking out Loud,Ed Sheeran,"pop,uk pop"
3993687,必殺技,Leo Ku,"c-pop,cantopop,classic cantopop"
10161091,Love Shot,EXO,"k-pop,k-pop boy group"
9938355,年少有為,Ronghao Li,"cantopop,mainland chinese pop,mandopop"
9558531,寧願當初不相見,Dear Jane,"c-pop,cantopop"
7543943,如果雨之後,Eric Chou,mandopop
7320815,Too Good At Goodbyes - Edit,Sam Smith,"pop,uk pop"
9368294,Youngblood,5 Seconds of Summer,"boy band,dance pop,pop,post-teen pop"
8442765,Attention,Charlie Puth,"dance pop,pop,post-teen pop,viral pop"
7895128,FRIENDS,Marshmello; Anne-Marie,"brostep,progressive electro house,dance pop,pop,post-teen pop,tropical house,uk pop"
10095385,Solo (feat. Demi Lovato),Clean Bandit; Demi Lovato,"dance pop,pop,post-teen pop,dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky"
10136756,可一可再,Eason Chan; eason and the duo band,"c-pop,cantopop,mandopop"
2290921,幸福之歌,Supper Moment,cantopop
10166072,monster,21 Savage,"atl hip hop,pop rap,rap,southern hip hop,trap"
4542,時光機,Terence Siufay,"c-pop,cantopop"
4476065,哪裡只得我共你,Dear Jane,"c-pop,cantopop"
780006,不該,Jay Chou; A-Mei Chang,"c-pop,mandopop,taiwan pop,c-pop,mandopop"
4581,修煉愛情,JJ Lin,"mandopop,singaporean mandopop,singaporean pop"
476626,羅生門,Juno Mak; Kay Tse,"c-pop,cantopop,c-pop,cantopop,chinese indie"
7415087,Rewrite The Stars,Zac Efron; Zendaya,"dance pop,pop,post-teen pop,hollywood,post-teen pop"
8278172,我們 - 《後來的我們》電影主題曲,Eason Chan,"c-pop,cantopop,mandopop"
4575,她說,JJ Lin,"mandopop,singaporean mandopop,singaporean pop"
9410485,I'm a Mess,Bebe Rexha,"dance pop,pop,post-teen pop"
4576,不為誰而作的歌,JJ Lin,"mandopop,singaporean mandopop,singaporean pop"
9289621,I Like Me Better,Lauv,"dance pop,pop"
4544,明年今日,Eason Chan,"c-pop,cantopop,mandopop"
10131886,老少平安,Pakho Chau,"c-pop,cantopop"
9362942,小問題,AGA,"c-pop,cantopop"
9969241,Happy Now,Kygo; Sandro Cavazza,"edm,pop,tropical house,swedish pop"
